timestamp,cpu_usage_percent,memory_usage_percent,disk_usage_percent,process_count,net_bytes_sent,net_bytes_recv
2026-04-19 18:11:49,100.0,16.8,0.4,197,4394061,308944454
2026-04-19 18:11:54,100.0,26.2,0.4,199,4394061,308944454
2026-04-19 18:11:59,100.0,32.2,0.4,197,4394061,308944454
2026-04-19 18:12:04,100.0,12.0,0.4,197,4394151,308944544
2026-04-19 18:12:07,100.0,25.3,0.4,197,4394151,308944544
2026-04-19 18:12:12,100.0,21.1,0.4,197,4394193,308944586
2026-04-19 18:12:17,100.0,19.9,0.4,197,4394193,308944586
2026-04-19 18:12:22,100.0,29.2,0.4,197,4394193,308944586
2026-04-19 18:12:27,100.0,25.0,0.4,199,4394193,308944586
2026-04-19 18:12:32,100.0,23.3,0.4,197,4394193,308944586
2026-04-19 18:12:36,100.0,19.5,0.4,197,4394283,308944676
2026-04-19 18:12:41,100.0,18.9,0.4,199,4394325,308944718
2026-04-19 18:12:46,100.0,17.1,0.4,197,4394325,308944718
2026-04-19 18:12:51,100.0,28.0,0.4,197,4394325,308944718
2026-04-19 18:12:56,100.0,25.4,0.4,197,4394325,308944718
2026-04-19 18:13:01,100.0,23.9,0.4,197,4394325,308944718
2026-04-19 18:13:06,100.0,19.6,0.4,197,4394415,308944808
2026-04-19 18:13:10,100.0,19.0,0.4,197,4394457,308944850
2026-04-19 18:13:15,100.0,29.1,0.4,197,4394457,308944850
2026-04-19 18:13:20,100.0,19.2,0.4,197,4394457,308944850
2026-04-19 18:13:25,100.0,26.8,0.4,197,4394457,308944850
2026-04-19 18:13:30,100.0,23.7,0.4,199,4394457,308944850
2026-04-19 18:13:35,100.0,23.2,0.4,197,4394457,308944850
2026-04-19 18:13:38,100.0,20.0,0.4,197,4394547,308945212
2026-04-19 18:13:43,100.0,22.1,0.4,197,4394589,308945254
2026-04-19 18:13:48,100.0,29.9,0.4,197,4394589,308945254
2026-04-19 18:13:53,100.0,8.9,0.4,194,4394589,308945254
2026-04-19 18:13:59,100.0,8.9,0.4,194,4394589,308945254
2026-04-19 18:14:04,100.0,8.9,0.4,196,4394589,308945254
2026-04-19 18:14:09,100.0,8.9,0.4,194,4394679,308945344
2026-04-19 18:14:12,100.0,8.9,0.4,194,4394721,308945386
2026-04-19 18:14:17,100.0,8.9,0.4,194,4394721,308945386
2026-04-19 18:14:22,100.0,8.9,0.4,194,4394721,308945386
2026-04-19 18:14:27,100.0,8.9,0.4,196,4394721,308945386
2026-04-19 18:14:32,100.0,10.3,0.4,694,4394721,308945386
2026-04-19 18:14:37,100.0,10.4,0.4,694,4394721,308945386
2026-04-19 18:14:41,100.0,10.4,0.4,694,4394811,308945476
2026-04-19 18:14:46,100.0,10.4,0.4,694,4394853,308945518
2026-04-19 18:14:51,100.0,10.4,0.4,695,4419822,310211614
2026-04-19 18:14:56,100.0,10.4,0.4,695,4449630,311778824
2026-04-19 18:15:01,100.0,10.4,0.5,695,4461906,313171664
2026-04-19 18:15:06,100.0,10.4,0.5,695,4483158,314887820
2026-04-19 18:15:10,100.0,10.4,0.5,695,4506216,316531180
2026-04-19 18:15:15,100.0,10.4,0.5,695,4529052,318158382
2026-04-19 18:15:20,100.0,10.4,0.5,697,4552614,319854764
2026-04-19 18:15:25,100.0,10.4,0.5,695,4575054,321485870
2026-04-19 18:15:30,100.0,10.4,0.5,695,4598898,323186782
2026-04-19 18:15:35,100.0,10.4,0.5,695,4620678,324823390
2026-04-19 18:15:40,100.0,10.4,0.5,695,4641930,326443014
2026-04-19 18:15:43,100.0,10.4,0.5,695,4664394,328146648
2026-04-19 18:15:48,100.0,10.4,0.5,695,4685646,329778664
2026-04-19 18:15:53,100.0,10.4,0.5,695,4707756,331443608
2026-04-19 18:15:59,100.0,10.4,0.5,695,4730502,333114860
2026-04-19 18:16:04,100.0,10.4,0.5,697,4751598,334736404
2026-04-19 18:16:09,100.0,10.4,0.5,695,4775292,336441664
2026-04-19 18:16:12,100.0,10.4,0.5,695,4798350,338081554
2026-04-19 18:16:17,100.0,10.4,0.5,695,4822176,339808408
2026-04-19 18:16:22,100.0,10.3,0.5,646,4843668,341439504
2026-04-19 18:16:27,100.0,9.0,0.5,197,4866966,343140304
2026-04-19 18:16:32,100.0,9.0,0.5,195,4890792,344793508
